# YYYY MM DD  Total  North  South
# Time base:   1
# Time unit:   d
# Point count: 51728
# ./cyclasar filter 0 0.001 10 sar-1880-2021.tsv filtered-sar-1880-2021.tsv
t/a	At/µhsp
1958.995849609	3115.260479093
1958.998657227	3113.677626539
1959.001342773	3112.089647033
1959.004150391	3110.495075730
1959.006835938	3108.896109895
1959.009643555	3107.291528826
1959.012329102	3105.681820804
1959.015014648	3104.066497548
1959.017822266	3102.445559057
1959.020507812	3100.819737754
1959.023315430	3099.187812935
1959.026000977	3097.551249444
1959.028808594	3095.909314860
1959.031494141	3094.260788478
1959.034301758	3092.607867566
1959.036987305	3090.949087278
1959.039672852	3089.285180037
1959.042480469	3087.616389984
1959.045166016	3085.940763993
1959.047973633	3084.261231753
1959.050659180	3082.575595996
1959.053466797	3080.884833287
1959.056152344	3079.187478780
1959.058959961	3077.485729743
1959.061645508	3075.779097892
1959.064331055	3074.066606667
1959.067138672	3072.348011927
1959.069824219	3070.624534373
1959.072631836	3068.895441586
1959.075317383	3067.161465986
1959.078125000	3065.421386870
1959.080810547	3063.676424942
1959.083618164	3061.926091920
1959.086303711	3060.169899523
1959.088989258	3058.408580172
1959.091796875	3056.641401447
1959.094482422	3054.869584050
1959.097290039	3053.091663138
1959.099975586	3051.308615272
1959.102783203	3049.519952172
1959.105468750	3047.725673837
1959.108276367	3045.926512690
1959.110961914	3044.121248028
1959.113647461	3042.311344693
1959.116455078	3040.495826124
1959.119140625	3038.674448180
1959.121948242	3036.847699143
1959.124633789	3035.015579011
1959.127441406	3033.178820208
1959.130126953	3031.335469608
1959.132934570	3029.487480336
1959.135620117	3027.633875829
1959.138305664	3025.774167807
1959.141113281	3023.909821114
1959.143798828	3022.040103326
1959.146606445	3020.164037882
1959.149291992	3018.283577907
1959.152099609	3016.396770276
1959.154785156	3014.505079832
1959.157592773	3012.608018294
1959.160278320	3010.705341522
1959.162963867	3008.797293656
1959.165771484	3006.884118837
1959.168457031	3004.965084643
1959.171264648	3003.040679356
1959.173950195	3001.110658834
1959.176757812	2999.175999640
1959.179443359	2997.235725212
1959.182250977	2995.289347268
1959.184936523	2993.337598230
1959.187622070	2991.380722239
1959.190429688	2989.418719296
1959.193115234	2987.450612836
1959.195922852	2985.477379423
1959.198608398	2983.499019058
1959.201416016	2981.514555176
1959.204101562	2979.525696764
1959.206909180	2977.530734835
1959.209594727	2975.530157673
1959.212280273	2973.524697698
1959.215087891	2971.513622488
1959.217773438	2969.496932044
1959.220581055	2967.475602928
1959.223266602	2965.447437875
1959.226074219	2963.414878291
